"主机名","目录名称样例","类别代码","风险类别","判定依据"
"wvvw.004vv.cn","书画收藏网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.0wsw.com.cn","展会信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.1nfo.cn","魅力北京","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.5caiw.com","天津之音","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.5cbn.cn","城市在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.930vv.cn","北京生活网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.96vvs.cn","深圳网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.9cjw.com","上海播报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.aandpmedia.com","俄罗斯新闻","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.agenciacorvo.com","犹太人日报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ahwin.cn","安化之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.ahxinwen.com","甘肃之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.asreazadi.com","艺术设计日报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.banchal.com.cn","中国品牌网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bandaokela.cn","山城新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.baovietcali.com","慈善行动播报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.beilo.cn","四川企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bfdushi.com","北方频道","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bing1angw.cn","安徽生活网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bjdaily.net","北京报讯","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bjnewsw.com","北疆新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bjrxw.net","宝鸡热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bjwin.net","宝鸡之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bjxinxiw.com","保健健康","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bluesdetour.com","全球儿童品牌网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bulve.cn","吉林企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.bxdai1y.cn","旅游手机网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.caihvaw.cn","广州网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.caikvangw.cn","中国温居网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.canglve.cn","广州企业网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.caomelw.cn","重庆头条网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.casalebonfala.com","信息在线报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.cehvaw.com.cn","四川讯息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.cfxvn.cn","广西传媒网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.concredom.com","全球商业报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.cqdaily.net","城区日报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.cqxinxi.net","崇庆信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dachuanw.com","长春都市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.daheiw.com","大海网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dailyd.cn","淘漏收藏网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dajingw.net","中国美景网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dajinw.net","大晋网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dashanw.com","大山网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dashenw.net","深圳视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dayuew.com","大乐网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.dazhew.net","长沙都市","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.donggvaw.cn","太原在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.esmural.com","英国汽车播报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.everest-fi.com","经济与商业报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.fanqievv.cn","江苏传媒网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.fanshvw.cn","黑龙江资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.fashiono1.cn","杭州传媒网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.federalflats.com","西班牙日报","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.financevv.cn","贵阳传媒网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.fjvnet.cn","重庆视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.fjwin.cn","风景之窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.fjxinxi.net","浙江企业新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gamingklub.com","英国房产门户网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gddushi.com","江西热线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gdrxw.net","供电热线网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gdscw.net","高端视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gdxinwen.net","各地新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gdxinxiw.com","股东信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gfdushi.net","股份在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gongkuai.net.cn","顺义资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gsdushi.com","江西信息港","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gsscw.net","贡山视窗网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gsxinwen.com","股市新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gsxinxi.cn","公司信息网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.guizhouw.com","贵州频道","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.guopinvv.cn","成都资讯网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gxnewsw.com","赣县新闻网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gxscw.com","高校视窗网","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gxvnet.com","歌星在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gzdaily.net","贵州视窗","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
"wvvw.gzolw.com","贵州在线","www-variant","疑似 www 变体站群","主机名含 www 形近变体标签「wvvw」，是仿冒站群的典型形态"
